species,dd_long,dd_lat
Pyrgus_alpinus,74.71132,35.31267
Pyrgus_alpinus,74.45748,35.48070
Pyrgus_alpinus,74.66724,36.21821
Pyrgus_alpinus,74.69330,36.15825
Pyrgus_alpinus,74.59051,36.11078
Pyrgus_alpinus,74.57195,36.22107
Pyrgus_alpinus,75.18506,36.89710
Pyrgus_alpinus,74.72306,36.73503
Pyrgus_alpinus,74.80698,36.96649
Pyrgus_alpinus,74.68039,36.91176
Pyrgus_alpinus,74.62937,37.03638
Pyrgus_alpinus,74.28343,36.88114
Pyrgus_alpinus,73.43436,36.65878
Pyrgus_alpinus,73.30170,36.40001
Pyrgus_badachschanus,71.44191,36.29262
Pyrgus_cashmirensis,76.34609,35.53195
Pyrgus_cashmirensis,75.50427,35.33850
Pyrgus_cashmirensis,75.60242,35.95936
Pyrgus_cashmirensis,75.31322,35.00677
Pyrgus_cashmirensis,75.22376,35.24662
Pyrgus_cashmirensis,74.88911,35.27707
Pyrgus_cashmirensis,74.64545,35.03342
Pyrgus_cashmirensis,74.78403,36.11664
Pyrgus_cashmirensis,74.89111,36.29153
Pyrgus_cashmirensis,74.59487,36.24870
Pyrgus_cashmirensis,75.16594,36.87331
Pyrgus_cashmirensis,74.62342,36.82334
Pyrgus_cashmirensis,74.27721,36.12735
Pyrgus_cashmirensis,74.11302,36.27012
Pyrgus_cashmirensis,73.81678,36.45929
Pyrgus_cashmirensis,73.79090,36.14564
Pyrgus_cashmirensis,73.96044,35.92971
Pyrgus_cashmirensis,73.24153,36.80245
Pyrgus_cashmirensis,73.14444,36.33322
Pyrgus_cashmirensis,72.70274,36.60831
Pyrgus_cashmirensis,72.48888,36.51182
Pyrgus_cashmirensis,72.34802,36.63651
Pyrgus_cashmirensis,72.31571,36.32925
Pyrgus_cashmirensis,72.06908,36.23717
Pyrgus_cashmirensis,71.88414,36.24764
Pyrgus_cashmirensis,73.04208,36.08512
Pyrgus_cashmirensis,72.80182,36.10568
Pyrgus_cashmirensis,72.62492,36.11361
Pyrgus_cashmirensis,72.63135,35.95371
Pyrgus_cashmirensis,72.29680,35.96861
Pyrgus_cashmirensis,71.83670,35.97789
Pyrgus_cashmirensis,72.05561,35.75802
Pyrgus_cashmirensis,71.91070,35.60360
Pyrgus_cashmirensis,71.73938,35.65428
Pyrgus_cashmirensis,70.74320,33.87831
Pyrgus_cashmirensis,71.43325,34.53719
Pyrgus_cashmirensis,76.32010,34.95386
Pyrgus_cashmirensis,75.82137,34.89866
Pyrgus_cashmirensis,74.00003,35.16516
Pyrgus_cashmirensis,73.80492,35.13423
Pyrgus_cashmirensis,73.73651,34.75946
Pyrgus_cashmirensis,73.61873,34.90044
Pyrgus_cashmirensis,73.39967,34.77456
Pyrgus_darwazicus,74.43448,36.83101
Pyrgus_darwazicus,71.59772,36.54774
Pyrgus_darwazicus,71.47897,36.24455
Sarangesa_purendra,67.00439,24.97171
